condition,feature_name,feature_family,corr_holistic_score,p_holistic_score,corr_word_count,p_word_count,corr_char_count,p_char_count,corr_sentence_count,p_sentence_count,corr_paragraph_count,p_paragraph_count,corr_component_count,p_component_count,corr_coverage,p_coverage
POS,pos_start_rank_15,position,0.21118201253906965,9.764856255760632e-126,0.2562626264489689,3.2553893266951656e-186,0.2573963876804076,6.643221366657247e-188,0.20500164053212994,1.9179357327309664e-118,0.08974476412671842,9.984735091443131e-24,0.4275768334280893,0.0,0.023439772079351474,0.00884969261771531
POS,pos_start_rank_16,position,0.16491098935623416,9.431312429134903e-77,0.21175122748757935,2.023501626735699e-126,0.21345447389947908,1.7729980951761858e-128,0.17147781803154066,6.3370463676845195e-83,0.07572185273258505,2.5010487978491298e-17,0.37433128140534805,0.0,0.019658718156067796,0.028132010367325523
POS,pos_start_rank_17,position,0.13211012877916553,1.132200157637252e-49,0.18098562653058384,2.5890286568485934e-92,0.1823588710703483,1.0295682070207984e-93,0.14284913930274992,7.418935609978367e-58,0.047576708836308,1.062163108913269e-07,0.3226688629763742,4.3373598082530304e-300,0.016537559502894865,0.06477257370009452
POS,pos_start_rank_18,position,0.1095583097796606,1.2965701540655225e-34,0.16077283375911477,5.4248688700502196e-73,0.16084705173390665,4.654129298934076e-73,0.12199180273325538,1.4610311911773925e-42,0.035297110120694725,8.055331013848092e-05,0.2586671765271814,8.274896251168651e-190,0.015086110587931153,0.09204351332923941
POS,pos_start_rank_19,position,0.09181051776588986,9.239135710621106e-25,0.13969066720227352,2.2163446861414306e-55,0.14030610347748937,7.375680809694116e-56,0.11512783685749836,4.5669270838471623e-38,0.02745052159398819,0.00217021132852122,0.22274368490924298,5.129579305029976e-140,0.01173825392401774,0.18991866357743825
POS,pos_start_rank_2,position,-0.35434748985423037,0.0,-0.31112096848649295,4.8390806309573226e-278,-0.30734960866989514,4.719022973522453e-271,-0.2665250271672339,7.980747081830908e-202,-0.11567242330583971,2.0542643858027174e-38,-0.4248453889807198,0.0,0.0018279485295001324,0.8382585187360269
POS,pos_start_rank_20,position,0.08086053425881132,1.5068416329740667e-19,0.12403149154300343,5.99565908332565e-44,0.12266253866371178,5.142836114427305e-43,0.0951795497115599,1.695676652039925e-26,0.025230888898351397,0.004833824630211479,0.20452564812756624,6.835675021761553e-118,0.009668902940118133,0.2802660817223116
POS,pos_start_rank_21,position,0.05714784951298465,1.6945532530048358e-10,0.09387673044503975,8.094568219269069e-26,0.09151910658756274,1.2968100786684433e-24,0.07276207043882528,4.0888507380404173e-16,0.02210508247363491,0.013560182115537228,0.16322687623219645,3.2870231549803137e-75,0.009685045920008815,0.27946383883211684
POS,pos_start_rank_22,position,0.038539042669661655,1.668837214091622e-05,0.06622115131233229,1.3330436633287863e-13,0.06472323339128114,4.654254824314171e-13,0.048833574980106834,4.8602164230054393e-08,0.009893482710017451,0.269245509362877,0.11126339731841306,1.185877591534932e-35,0.006167546469594949,0.49100109914903195
POS,pos_start_rank_23,position,0.03304882523295119,0.00022296285564641795,0.05271715605806263,3.841947095038853e-09,0.04898924898271685,4.405736459857596e-08,0.03956141193445282,9.89611737143528e-06,-0.0009597684394727153,0.914650619609734,0.08847835310948413,4.1826210465741666e-23,0.00481300616921362,0.5909522104915723
POS,pos_start_rank_24,position,0.01793581940245616,0.04517742444773382,0.03570996586042727,6.63821074168703e-05,0.030720916707812795,0.0006006519645939211,0.03687504223226163,3.8031702097319636e-05,-0.0015780649041037451,0.8601228765403024,0.06560028103636986,2.2458615245155975e-13,0.0035639156711770714,0.6906502846082556
POS,pos_start_rank_25,position,0.02027589654185172,0.02355077861247967,0.02941134308420422,0.00101987965386989,0.025626535533433862,0.004208359082855995,0.035673518352230295,6.753129407408671e-05,-0.0011158522012853667,0.9008372102053261,0.04780191916312472,9.246281391074144e-08,0.002405640145474717,0.7882138056021559
POS,pos_start_rank_3,position,-0.3936155120575713,0.0,-0.3953262357555068,0.0,-0.39831783657759573,0.0,-0.3523140974274364,0.0,-0.1369146038619741,2.979224041374191e-53,-0.4672089686707928,0.0,0.004028633790072466,0.6528063910446432
POS,pos_start_rank_4,position,-0.31148927246362845,9.923990582454147e-279,-0.3538046123198433,0.0,-0.3595794646005235,0.0,-0.30602886053899303,1.2506462780905864e-268,-0.11084146394609726,2.1507873785349698e-35,-0.3724623847326052,0.0,0.009205467289443027,0.30396492008241877
POS,pos_start_rank_5,position,-0.159508730900224,7.294008672639114e-72,-0.2380492167585455,3.2506181181238956e-160,-0.2481254283156391,2.485544786753833e-174,-0.2021860492115457,3.3691652647687146e-115,-0.0495896699669353,3.0086186453461764e-08,-0.18145405916293078,8.643273900329832e-93,0.03708198994158421,3.4390617068031744e-05
POS,pos_start_rank_6,position,0.09154648452528255,1.256211241439818e-24,-0.01275096491331025,0.15446997839947063,-0.02454446517860237,0.006121194650722481,0.01949920937153926,0.02943407236408111,0.03047049528423721,0.0006656826588922276,0.07970643178218931,4.888875330185795e-19,0.07326081258641567,2.573095986861221e-16
POS,pos_start_rank_7,position,0.3014882613666644,2.1500453253647356e-260,0.21667961428198484,2.011960223082576e-132,0.19985847424065778,1.490038125923399e-112,0.2254272680132642,1.887980530671359e-143,0.12388116319914476,7.600621816032838e-44,0.3737219665780783,0.0,0.08872485635468289,3.169909590524411e-23
