held_out_prompt,condition,n_train,n_test,qwk,rmse,mae,exact_accuracy,adjacent_accuracy,qwk_T2,qwk_T3,qwk_POS,qwk_POS_TRANS,qwk_T3_PLUS_POS,qwk_REAL_BOUNDARY_SHUFFLED_LABEL,qwk_RANDOM_BOUNDARY_TRUE_SEQUENCE,delta_T3_T2,delta_POS_T2,delta_POS_TRANS_T2,delta_T3_PLUS_POS_T2,delta_T3_shuffled,delta_T3_random_boundary,best_condition
Community service,REAL_BOUNDARY_SHUFFLED_LABEL,14823.0,768.0,0.6166895305651287,0.6226692388029017,0.492568946644048,0.5924479166666666,0.98046875,,,,,,,,,,,,,,
Community service,RANDOM_BOUNDARY_TRUE_SEQUENCE,14823.0,768.0,0.63212843329479,0.6229124265492471,0.4921668906766025,0.6002604166666666,0.984375,,,,,,,,,,,,,,
Distance learning,T2,14093.0,1498.0,0.8236698835195777,0.540390195095915,0.40487644039350074,0.6755674232309746,0.9853137516688919,,,,,,,,,,,,,,
Distance learning,T3,14093.0,1498.0,0.8384619240524032,0.5205416530236543,0.38891691265060657,0.6995994659546061,0.9873164218958611,,,,,,,,,,,,,,
Distance learning,POS,14093.0,1498.0,0.8150902537486843,0.542711095452684,0.4133929894585772,0.6769025367156208,0.9819759679572764,,,,,,,,,,,,,,
Distance learning,POS_TRANS,14093.0,1498.0,0.8186753604278847,0.5416874270790335,0.4112079187464006,0.6802403204272364,0.9826435246995995,,,,,,,,,,,,,,
Distance learning,T3_PLUS_POS,14093.0,1498.0,0.833137380899338,0.529148358937092,0.39927954877816074,0.6975967957276369,0.9853137516688919,,,,,,,,,,,,,,
Distance learning,REAL_BOUNDARY_SHUFFLED_LABEL,14093.0,1498.0,0.8279810556191395,0.5351245787542225,0.4004503704590198,0.6869158878504673,0.985981308411215,,,,,,,,,,,,,,
Distance learning,RANDOM_BOUNDARY_TRUE_SEQUENCE,14093.0,1498.0,0.8334388960600276,0.5302995182375502,0.39452642684105127,0.6935914552736983,0.985981308411215,,,,,,,,,,,,,,
Does the electoral college work?,T2,13773.0,1818.0,0.6776337645964388,0.7578157824660733,0.5820968216514334,0.5297029702970297,0.9411441144114412,,,,,,,,,,,,,,
Does the electoral college work?,T3,13773.0,1818.0,0.6956205130480915,0.7552959358520593,0.5769819334397734,0.5407040704070407,0.9477447744774478,,,,,,,,,,,,,,
